gen_path,gt_path,ssim,lpips
example image\\example_score\g1\subj01_g1_trial013_label1_GEN.png,example image\\example_score\g1\subj01_g1_trial013_label1_GT.png,0.303756,0.8100162148475647
example image\\example_score\g1\subj01_g1_trial097_label2_GEN.png,example image\\example_score\g1\subj01_g1_trial097_label2_GT.png,0.372552,0.7843250036239624
example image\\example_score\g1\subj01_g1_trial151_label3_GEN.png,example image\\example_score\g1\subj01_g1_trial151_label3_GT.png,0.388658,0.6346814036369324
example image\\example_score\g1\subj08_g1_trial032_label1_GEN.png,example image\\example_score\g1\subj08_g1_trial032_label1_GT.png,0.676280,0.2826639711856842
example image\\example_score\g1\subj08_g1_trial138_label2_GEN.png,example image\\example_score\g1\subj08_g1_trial138_label2_GT.png,0.666676,0.37199175357818604
example image\\example_score\g1\subj08_g1_trial170_label3_GEN.png,example image\\example_score\g1\subj08_g1_trial170_label3_GT.png,0.736093,0.356395959854126
example image\\example_score\g1\subj14_g1_trial006_label1_GEN.png,example image\\example_score\g1\subj14_g1_trial006_label1_GT.png,0.598625,0.27525144815444946
example image\\example_score\g1\subj14_g1_trial061_label2_GEN.png,example image\\example_score\g1\subj14_g1_trial061_label2_GT.png,0.566571,0.24054822325706482
example image\\example_score\g1\subj14_g1_trial130_label3_GEN.png,example image\\example_score\g1\subj14_g1_trial130_label3_GT.png,0.712376,0.16545775532722473
example image\\example_score\g1\subj15_g1_trial059_label1_GEN.png,example image\\example_score\g1\subj15_g1_trial059_label1_GT.png,0.584527,0.5290108323097229
example image\\example_score\g1\subj15_g1_trial098_label2_GEN.png,example image\\example_score\g1\subj15_g1_trial098_label2_GT.png,0.401922,0.7449268698692322
example image\\example_score\g1\subj15_g1_trial161_label3_GEN.png,example image\\example_score\g1\subj15_g1_trial161_label3_GT.png,0.686488,0.264438271522522
example image\\example_score\g2\subj01_g2_trial198_label4_GEN.png,example image\\example_score\g2\subj01_g2_trial198_label4_GT.png,0.000689,1.1570873260498047
example image\\example_score\g2\subj01_g2_trial243_label5_GEN.png,example image\\example_score\g2\subj01_g2_trial243_label5_GT.png,0.001283,1.0645695924758911
example image\\example_score\g2\subj01_g2_trial345_label6_GEN.png,example image\\example_score\g2\subj01_g2_trial345_label6_GT.png,0.003213,1.034892201423645
example image\\example_score\g2\subj08_g2_trial237_label4_GEN.png,example image\\example_score\g2\subj08_g2_trial237_label4_GT.png,0.001443,0.7317349910736084
example image\\example_score\g2\subj08_g2_trial263_label5_GEN.png,example image\\example_score\g2\subj08_g2_trial263_label5_GT.png,0.001971,0.6469373106956482
example image\\example_score\g2\subj08_g2_trial306_label6_GEN.png,example image\\example_score\g2\subj08_g2_trial306_label6_GT.png,0.002164,0.6972212791442871
example image\\example_score\g2\subj14_g2_trial217_label4_GEN.png,example image\\example_score\g2\subj14_g2_trial217_label4_GT.png,-0.012772,0.7623679041862488
example image\\example_score\g2\subj14_g2_trial294_label5_GEN.png,example image\\example_score\g2\subj14_g2_trial294_label5_GT.png,-0.000290,0.7579622864723206
example image\\example_score\g2\subj14_g2_trial320_label6_GEN.png,example image\\example_score\g2\subj14_g2_trial320_label6_GT.png,0.000564,0.8334094285964966
example image\\example_score\g2\subj15_g2_trial207_label4_GEN.png,example image\\example_score\g2\subj15_g2_trial207_label4_GT.png,-0.011882,0.6683322787284851
example image\\example_score\g2\subj15_g2_trial264_label5_GEN.png,example image\\example_score\g2\subj15_g2_trial264_label5_GT.png,0.074042,0.2932884395122528
example image\\example_score\g2\subj15_g2_trial330_label6_GEN.png,example image\\example_score\g2\subj15_g2_trial330_label6_GT.png,0.136096,0.6397854089736938
example image\\example_score\g3\subj03_g3_trial371_label7_GEN.png,example image\\example_score\g3\subj03_g3_trial371_label7_GT.png,0.007191,0.8269600868225098
example image\\example_score\g3\subj03_g3_trial447_label8_GEN.png,example image\\example_score\g3\subj03_g3_trial447_label8_GT.png,0.086607,0.9380618333816528
example image\\example_score\g3\subj03_g3_trial520_label9_GEN.png,example image\\example_score\g3\subj03_g3_trial520_label9_GT.png,0.076565,0.8346432447433472
example image\\example_score\g3\subj14_g3_trial365_label7_GEN.png,example image\\example_score\g3\subj14_g3_trial365_label7_GT.png,0.056885,0.3234712481498718
example image\\example_score\g3\subj14_g3_trial435_label8_GEN.png,example image\\example_score\g3\subj14_g3_trial435_label8_GT.png,0.048791,0.33664393424987793
example image\\example_score\g3\subj14_g3_trial516_label9_GEN.png,example image\\example_score\g3\subj14_g3_trial516_label9_GT.png,0.065143,0.6215466260910034
example image\\example_score\g3\subj15_g3_trial417_label7_GEN.png,example image\\example_score\g3\subj15_g3_trial417_label7_GT.png,0.014078,0.7804018259048462
example image\\example_score\g3\subj15_g3_trial439_label8_GEN.png,example image\\example_score\g3\subj15_g3_trial439_label8_GT.png,0.058078,0.4190518856048584
example image\\example_score\g3\subj15_g3_trial519_label9_GEN.png,example image\\example_score\g3\subj15_g3_trial519_label9_GT.png,0.272350,0.4897136688232422
example image\\example_score\g3\subj16_g3_trial364_label7_GEN.png,example image\\example_score\g3\subj16_g3_trial364_label7_GT.png,0.016984,0.7043664455413818
example image\\example_score\g3\subj16_g3_trial429_label8_GEN.png,example image\\example_score\g3\subj16_g3_trial429_label8_GT.png,0.017502,0.5968136787414551
example image\\example_score\g3\subj16_g3_trial523_label9_GEN.png,example image\\example_score\g3\subj16_g3_trial523_label9_GT.png,0.030963,0.7264519929885864
